Codi,(km2)
252192,7.61
82750,18.76
82802,32.49
82819,6.63
252206,27.54
171962,20.96
82798,70.16
82824,7.95
252213,8.5
252228,15.86
431495,53.54
431508,209.43
82830,16.54
252234,93.31
82845,84.09
82858,13.48
252249,13.75
252252,24.17
252271,165.27
82861,15.02
431515,7.11
431520,27.9
252265,27.45
431536,8.71
252287,23.49
259078,88.91
252304,40.52
252311,10.93
82877,23.65
82883,36.72
82896,13.56
171978,7.96
252326,50.61
252332,5.89
171984,16.85
171997,65.93
431541,13.16
172001,11.07
431554,218.51
172018,57.88
172023,38.58
252347,302.82
172044,7.29
82900,7.31
172057,11.09
431567,126.88
431573,38.17
172039,4.35
172060,17.42
82917,40.7
170144,4.71
172076,90.67
172082,93.62
250432,219.49
259010,56.2
82922,6.45
252385,34.14
82938,27.99
431589,13.63
252402,26.97
171707,39.2
431592,10.94
82943,22.13
82956,23.88
172095,5.45
431606,16.68
82969,10.65
431613,55.28
259062,123.81
252398,171.25
431628,102.67
259097,106.08
82975,38.9
431634,36.8
172109,25.05
252424,35.79
172116,9.7
431649,18.04
82981,30.58
172121,34.39
172137,48.05
252430,211.74
431652,18.19
172142,2.29
172155,6.17
82994,22.34
172174,11.73
172168,15.74
83015,20.4
83008,20.09
172180,61.54
172207,50.73
172214,8.36
83054,19.65
252445,19.87
172235,13.13
431750,67.25
83067,6.05
252458,59.23
172240,64.2
431665,9.04
172253,5.57
172266,8.77
172272,5.46
252477,15.44
172288,16.87
431671,17.16
252483,13.98
252496,53.68
252542,21.55
252509,105.24
431687,21.51
83036,58.84
252516,8.51
83020,10.28
89024,15.2
83073,33.99
431690,23.2
431704,33.11
172305,6.03
252521,19.1
431711,21.64
82140,8.86
82191,4
172229,5.49
431726,12.61
431732,5.15
431747,5.62
172333,32.59
83041,9.34
172327,16.38
252537,18.88
431763,66.09
252555,37.59
431779,26.44
431785,10.83
83089,66.8
430521,32.39
